HouseID,Price,TypeOfLiving,squareMeters,Bedrooms,Bathrooms,BuildYear,useableArea,SchoolDistance,Condition
1,4510000,Apartment,70,2,1,1959,79,480,good
2,4150000,Apartment,70,2,1,1959,79,480,poor
3,5000000,Apartment,70,2,1,1958,89,480,excellent
4,4500000,Apartment,70,2,1,1958,87,460,fair
5,5450000,Apartment,71,3,1,1967,76,450,excellent
6,5500000,Apartment,69,2,1,1959,69,450,good
7,5900000,Apartment,69,2,1,1959,69,450,excellent
8,4950000,Apartment,65,2,1,1960,65,70,good
9,5350000,Apartment,66,2,1,1960,66,70,excellent
10,4990000,Apartment,69,2,1,1953,69,490,excellent
11,3650000,Apartment,34,1,1,1964,37,1000,excellent
12,4550000,Apartment,53,1,1,1959,55,1000,excellent
13,5340000,Apartment,69,2,1,1959,72,1000,good
14,6990000,Apartment,88,3,1,1958,91,500,excellent
15,5500000,Apartment,74,2,1,1960,80,1000,excellent
16,8950000,Apartment,82,2,1,2017,85,600,excellent
17,6800000,Apartment,64,2,1,2016,74,500,excellent
18,8500000,Apartment,79,2,1,2012,83,300,excellent
19,5450000,Apartment,51,1,1,2006,56,300,excellent
20,12600000,Apartment,84,2,1,2023,89,600,excellent
21,15500000,Apartment,95,2,1,2023,100,600,excellent
22,5800000,Apartment,62,2,1,2006,67,450,excellent
23,9200000,Apartment,105,3,2,2006,109,350,good
24,9990000,Apartment,92,3,2,2007,97,300,excellent
25,4850000,Apartment,53,1,1,2006,57,400,good
26,6000000,Apartment,66,2,1,1951,91,750,fair
27,6200000,Apartment,68,2,1,1951,73,750,good
28,6200000,Apartment,65,2,1,1950,79,730,excellent
29,5150000,Apartment,62,2,1,1950,74,30,good
